customer_id,first_name,last_name,email,phone,signup_date,birth_date,gender,city,country,status
1,Danielle,Garcia,valerieboyd@example.com,477-731-8063,2024-05-04,1991-12-18,Male,New Monique,Bolivia,Active
2,Angel,Jennings,joshua89@example.net,431-807-4279x9077,2025-01-31,1994-08-15,Male,Moorefort,Vietnam,Inactive
3,Joshua,Stephens,conniesimmons@example.com,(657)801-6580,2024-04-01,1968-03-18,Female,West William,Malta,Active
4,Jeffrey,Levine,comptonshelly@example.net,001-849-789-3195x08501,2023-05-31,1971-10-11,Female,East Ericton,Jersey,Active
5,Jill,Howard,ufloyd@example.net,590.355.2818x325,2024-11-14,1965-08-16,Female,Paulside,Montserrat,Inactive
6,Erica,Sanders,trussell@example.com,+1-779-733-5548x6401,2024-12-24,1983-03-09,Male,Jenniferhaven,Grenada,Inactive
7,Patricia,Lopez,karenwells@example.org,378.581.7884x795,2024-11-08,1962-10-30,Female,East Todd,Lesotho,Active
8,Christopher,Martinez,meredith27@example.org,911.462.4112x412,2024-02-24,1975-05-25,Female,South Ashley,Cape Verde,Inactive
9,Robert,Charles,jfaulkner@example.net,880.946.8275,2023-04-19,2007-10-09,Female,Port Jacobberg,Saudi Arabia,Inactive
10,Anthony,Gibson,paulscott@example.com,001-904-931-0385x6955,2025-10-07,1976-06-19,Male,North Tiffanyville,Serbia,Active
11,Jeffery,Bates,nielsenmelanie@example.org,449.724.2437x540,2023-07-02,1975-12-08,Male,Churchton,Pakistan,Inactive
12,William,May,brettbennett@example.net,272-792-8422x2231,2024-12-27,1969-06-10,Female,Lake Michael,United States Virgin Islands,Inactive
13,Anthony,Harper,russojacob@example.net,001-727-745-2380,2024-03-05,2003-10-19,Female,Aguirreton,Saint Martin,Active
14,James,Smith,timothybooth@example.com,(857)982-8410,2024-07-20,1958-09-17,Female,South Melissafort,Norway,Inactive
15,Debra,Buchanan,susan03@example.org,001-927-752-0885x47492,2025-06-22,1985-09-22,Male,Heatherbury,Sierra Leone,Active
16,Amy,Sanchez,burgesskaren@example.org,001-917-702-8140x693,2023-09-13,1993-06-20,Male,West Dale,French Guiana,Inactive
17,Jeffrey,Martinez,randyallen@example.com,550-293-9834,2023-03-25,1982-12-29,Female,Heatherburgh,Thailand,Inactive
18,Bridget,Cunningham,oscar85@example.com,287-718-6375,2023-04-29,1969-11-19,Male,Jillville,Tanzania,Active
19,Lisa,Jones,michael77@example.org,(326)556-5045x5478,2025-03-20,1999-09-04,Male,Garciaburgh,Albania,Inactive
20,Adam,Hubbard,ugill@example.org,001-576-674-2662x9912,2025-10-10,2007-05-02,Male,South Sierra,Georgia,Active
21,Linda,Clark,lawrence09@example.org,985.419.6106x4628,2025-08-27,1986-01-27,Female,Johnside,Egypt,Inactive
22,Helen,Robinson,allentran@example.net,626.948.7049,2025-04-04,1970-04-17,Female,Whitetown,South Africa,Active
23,Matthew,Kane,mphillips@example.com,+1-373-600-2447,2023-07-12,1962-01-03,Female,Mercedesberg,Wallis and Futuna,Active
24,Eric,Murphy,noahwhitaker@example.com,(827)630-1471x95979,2024-02-08,2001-03-26,Female,North Nicholas,Gambia,Active
25,Susan,Hernandez,jonathan77@example.com,+1-971-458-9042x9025,2023-04-21,1956-02-22,Female,Sheltonview,Liechtenstein,Active
26,Matthew,Lester,jessicabell@example.org,(520)445-6504x481,2025-07-02,1956-12-14,Male,Hornborough,Equatorial Guinea,Inactive
27,Christopher,Smith,iwhite@example.net,001-419-228-5544x51895,2025-06-06,1991-04-06,Male,Lake Jill,British Indian Ocean Territory (Chagos Archipelago),Inactive
28,Colin,Garrison,warrenmary@example.org,(584)457-6521,2024-08-16,1998-11-05,Female,East Theresa,Russian Federation,Inactive
29,Melanie,Thomas,duranrobert@example.net,233.989.8881x67112,2023-07-02,2001-08-12,Female,Kevintown,Central African Republic,Active
30,Cassandra,Anderson,carloshernandez@example.org,(545)427-9852x401,2024-10-06,2004-08-24,Female,Waynehaven,Ghana,Inactive
31,Lindsay,King,nbrooks@example.net,001-923-842-3216x110,2024-01-17,1963-03-19,Female,Romeroshire,Czech Republic,Active
32,Jessica,Thompson,bhopkins@example.org,6312089071,2023-09-01,1988-08-23,Female,Alexandermouth,Barbados,Active
33,Amanda,Guerrero,hsmith@example.net,440-711-9393,2023-08-09,1991-01-13,Male,Port Gabrielstad,Palestinian Territory,Inactive
34,Teresa,Johnson,amanda40@example.net,5123495528,2023-07-06,1979-02-27,Male,Cannonstad,Congo,Inactive
35,Nicholas,Smith,ldrake@example.org,290-383-3428,2025-06-23,1966-04-12,Male,New Katiemouth,Liberia,Inactive
36,Andrea,Tyler,warrenjohn@example.net,787.859.2712,2024-12-10,1964-07-31,Female,Port Evelyn,Panama,Inactive
37,Maria,Young,lisa46@example.org,(638)236-1517x18275,2024-05-02,1963-02-04,Female,Scottburgh,Niger,Active
38,Christine,Morris,susan79@example.org,957-516-4794,2025-02-02,1960-04-25,Female,Simmonsborough,Germany,Inactive
39,Michelle,Thompson,kevinclayton@example.org,+1-264-963-1752,2025-05-30,1979-12-24,Female,New Joyce,Thailand,Inactive
40,Barbara,Williams,davisnicholas@example.net,+1-716-578-1126x69121,2023-03-25,2004-07-31,Female,Hallburgh,Iraq,Inactive
41,Janet,Harmon,abrown@example.net,939-861-3674x99465,2024-10-27,1992-04-09,Male,Morsefort,Bhutan,Active
42,Brandon,Fox,christopherbruce@example.net,384.227.1147x7320,2023-02-20,1985-04-22,Male,Lauraburgh,American Samoa,Active
43,Jeremy,Reese,ariel18@example.org,370-326-9524,2024-01-14,1961-03-14,Male,Ashleytown,Austria,Inactive
44,Keith,Alvarez,jasonparrish@example.net,+1-287-273-4778x48588,2024-06-21,1992-10-24,Female,Millerfurt,Luxembourg,Active
45,Christopher,Strickland,enelson@example.net,(916)875-6770x02842,2024-01-17,1974-01-09,Male,Amyberg,Liechtenstein,Inactive
46,Jesse,Palmer,rachel90@example.org,(946)971-9788,2023-06-22,1976-07-29,Male,North Destiny,Lithuania,Active
47,Craig,Rodriguez,alexis39@example.org,+1-728-606-4796,2023-05-12,1965-07-22,Female,East Brittany,Congo,Inactive
48,Joshua,Gordon,thickman@example.org,700-790-2559x05616,2025-04-07,1969-02-21,Female,North Marcuschester,Norway,Inactive
49,Cynthia,Dougherty,ashleyatkinson@example.net,(250)733-3491x14152,2024-05-21,1979-08-07,Female,North Edward,Chile,Active
50,Michael,Williams,patrick21@example.net,2767986407,2025-10-22,1999-09-08,Male,Leslieshire,Barbados,Inactive
51,Mitchell,Logan,brian63@example.org,(496)659-1713x5785,2024-02-29,1973-12-03,Female,Hallbury,Luxembourg,Active
52,Jason,Camacho,cassie99@example.com,(863)571-8344x049,2024-07-01,2005-03-18,Female,Barnettberg,Guernsey,Active
53,Joseph,Boyd,anthony47@example.com,+1-519-719-5419x876,2024-12-24,1966-11-26,Female,Jacksonport,Bahamas,Inactive
54,Sharon,Ellis,michaelpugh@example.com,848-646-8536,2023-02-08,1984-05-16,Male,North Ryan,Czech Republic,Inactive
55,Deborah,Maynard,eringuerrero@example.org,+1-687-882-0829x737,2024-04-08,1989-04-23,Female,West Elizabethhaven,Italy,Active
56,Chelsea,Brown,lauren11@example.com,001-608-835-7232,2024-10-05,1986-04-05,Female,Lake Elizabethmouth,Benin,Active
57,George,Mendoza,normanbowers@example.org,(451)536-4424x93631,2025-01-23,1972-08-03,Female,East Jamieville,Saudi Arabia,Inactive
58,Jessica,Morales,gstewart@example.org,5344778660,2023-06-14,1973-01-31,Female,Lake Amanda,Morocco,Active
59,Frank,Parks,hahnsean@example.com,720-644-8207x001,2022-12-04,2001-03-16,Female,North Josephside,Serbia,Active
60,Noah,Henry,andersonjacob@example.com,365-616-2319,2025-05-15,1999-03-06,Female,Lake Melissa,Panama,Inactive
61,Veronica,Browning,fgarcia@example.com,313.491.5596x3632,2023-07-07,2001-02-05,Male,Port Dawnburgh,Christmas Island,Inactive
62,Danielle,Jones,carlsonkristen@example.com,747.364.9078,2023-06-14,1988-10-21,Female,North Stephanie,Aruba,Active
63,Angela,Miller,carterpaul@example.org,286-573-4257x54090,2024-06-22,1958-03-22,Male,Port Charles,Cameroon,Active
64,Gabrielle,Franklin,ashleyjackson@example.com,686-645-1837x606,2025-01-09,1962-07-25,Male,Williamville,Puerto Rico,Inactive
65,Megan,Jones,dominicturner@example.com,634-332-7560,2022-11-30,1988-09-30,Female,Amandachester,Grenada,Active
66,Kimberly,Hill,bryanhamilton@example.com,001-777-965-6124x81569,2025-05-10,1968-02-11,Male,Nicholsfurt,Syrian Arab Republic,Inactive
67,Jeremy,Schultz,todd15@example.com,001-300-327-2063x459,2022-12-28,1998-08-28,Male,Patriciaville,Nigeria,Active
68,Antonio,Kelley,jennifersimpson@example.net,(438)629-6577,2023-02-15,1966-01-17,Female,New Markside,Samoa,Inactive
69,Leslie,Nguyen,stephentaylor@example.org,(895)843-1652,2023-03-08,1999-01-06,Male,South Kyleport,Syrian Arab Republic,Inactive
70,Joseph,Vang,ncook@example.com,001-530-608-9317,2025-08-07,2000-12-17,Female,Port Mary,Myanmar,Inactive
71,Jason,Schmidt,scott69@example.org,001-320-269-6942x152,2024-08-11,1956-08-20,Male,North Lauraburgh,Nepal,Active
72,Sherri,Chavez,malik37@example.com,001-886-477-1333x447,2023-11-06,2001-12-20,Male,Ramoshaven,Saint Helena,Active
73,Nancy,Jacobs,tamaranovak@example.com,(939)534-3626x20443,2025-11-27,1990-11-30,Female,Sanchezmouth,Barbados,Active
74,Leonard,Garcia,yfaulkner@example.org,(697)310-7256x366,2024-05-14,1982-11-16,Male,Kimberlyfurt,Nauru,Active
75,Diana,Miles,nicholas65@example.org,280-205-3759,2024-08-27,1978-02-23,Female,Campbellfurt,Congo,Inactive
